Name,Metacritic,RecommendationCount,ReleaseDate,PriceCurrency,PriceInitial,PriceFinal
Counter-Strike,88,68991,Nov 1 2000,USD,9.99,9.99
Team Fortress Classic,0,2439,Apr 1 1999,USD,4.99,4.99
Day of Defeat,79,2319,May 1 2003,USD,4.99,4.99
Deathmatch Classic,0,888,Jun 1 2001,USD,4.99,4.99
Half-Life: Opposing Force,0,2934,Nov 1 1999,USD,4.99,4.99
Ricochet,0,1965,Nov 1 2000,USD,4.99,4.99
Half-Life,96,12486,Nov 8 1998,USD,9.99,9.99
Counter-Strike: Condition Zero,65,7067,Mar 1 2004,USD,9.99,9.99
Counter-Strike: Condition Zero,65,7067,Mar 1 2004,USD,9.99,9.99
Half-Life: Blue Shift,71,2219,Jun 1 2001,USD,4.99,4.99
Half-Life 2,96,35792,Nov 16 2004,USD,9.99,9.99
Counter-Strike: Source,88,53931,Nov 1 2004,USD,19.99,19.99
Half-Life: Source,0,2547,Jun 1 2004,USD,9.99,9.99
Day of Defeat: Source,80,7185,Jul 12 2010,USD,9.99,9.99
Half-Life 2: Deathmatch,0,4328,Nov 1 2004,USD,4.99,4.99
Half-Life 2: Lost Coast,0,4352,Oct 27 2005, ,0.0,0.0
Half-Life Deathmatch: Source,0,864,May 1 2006,USD,9.99,9.99
Half-Life 2: Episode One,87,4437,Jun 1 2006,USD,7.99,7.99
Portal,90,27535,Oct 10 2007,USD,9.99,9.99
Half-Life 2: Episode Two,90,6104,Oct 10 2007,USD,7.99,7.99
Team Fortress 2,92,383949,Oct 10 2007, ,0.0,0.0
Left 4 Dead,89,9980,Nov 17 2008,USD,19.99,19.99
Left 4 Dead 2,89,140726,Nov 16 2009,USD,19.99,19.99
Dota 2,90,590480,Jul 9 2013, ,0.0,0.0
Portal 2,95,73128,Apr 18 2011,USD,19.99,19.99
Alien Swarm,77,14625,Jul 19 2010, ,0.0,0.0
Portal 2,95,73128,Apr 18 2011,USD,19.99,19.99
Counter-Strike: Global Offensive,83,1427633,Aug 21 2012,USD,14.99,14.99
Rag Doll Kung Fu,69,0,Oct 12 2005,USD,9.99,9.99
Red Orchestra: Ostfront 41-45,81,1220,Mar 14 2006,USD,9.99,9.99
Killing Floor,72,44364,May 14 2009,USD,19.99,19.99
SiN Episodes: Emergence,75,385,May 10 2006,USD,9.99,9.99
SiN Episodes: Emergence,75,385,May 10 2006,USD,9.99,9.99
SiN Episodes: Emergence,75,385,May 10 2006,USD,9.99,9.99
Darwinia,84,444,Jul 14 2005,USD,9.99,9.99
Uplink,75,1240,Aug 23 2006,USD,9.99,9.99
DEFCON,84,1655,Sep 29 2006,USD,9.99,9.99
Multiwinia,76,340,Sep 19 2008,USD,9.99,9.99
Dangerous Waters,82,112,Feb 7 2006,USD,14.99,14.99
Space Empires IV Deluxe,79,0,Feb 7 2006,USD,9.99,9.99
Jagged Alliance 2 Gold,0,0,Jul 6 2006,USD,19.99,19.99
Disciples II: Rise of the Elves,80,299,Jul 6 2006,USD,6.49,6.49
Disciples II: Galleans Return,84,400,Jul 6 2006,USD,6.49,6.49
Iron Warriors: T - 72 Tank Command,56,210,Jul 26 2006,USD,4.99,4.99
Space Empires V,68,204,Oct 16 2006,USD,14.99,14.99
Arx Fatalis,77,389,Apr 3 2007,USD,4.99,4.99
Source Filmmaker,0,10079,Jul 10 2012, ,0.0,0.0
Earth 2160,73,412,Apr 1 2006,USD,4.99,4.99
Two Worlds Epic Edition,65,2399,Apr 30 2009,USD,9.99,9.99